match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8752046760,7354865458,True,1774972760,1189,0,23,43,2,184,"[29, 14, 20, 36, 39]","[123, 100, 27, 8, 30]"
8752046688,7354865072,True,1774972761,1157,0,23,42,4,153,"[99, 6, 107, 74, 91]","[8, 34, 31, 67, 84]"
8752046679,7354867495,False,1774972755,1285,0,23,24,1,202,"[44, 126, 94, 64, 98]","[42, 105, 27, 84, 108]"
8752046677,7354869424,False,1774972741,1378,0,23,42,6,151,"[39, 112, 62, 129, 123]","[21, 93, 2, 28, 84]"
8752046653,7354867685,False,1774972760,1302,0,23,42,6,236,"[44, 22, 43, 71, 17]","[86, 42, 46, 10, 27]"
8752046632,7354869587,True,1774972760,1383,0,23,24,2,151,"[62, 108, 94, 84, 27]","[26, 14, 100, 56, 74]"
8752046629,7354864645,True,1774972760,1155,0,23,35,1,193,"[62, 47, 40, 42, 95]","[66, 35, 54, 26, 6]"
8752046619,7354863987,True,1774972750,1111,0,23,32,2,181,"[27, 35, 95, 14, 71]","[104, 74, 72, 32, 10]"
8752046602,7354868767,True,1774972756,1323,0,23,43,4,273,"[86, 44, 43, 25, 6]","[53, 138, 101, 54, 75]"
8752046598,7354866402,False,1774972755,1233,0,23,63,7,185,"[97, 84, 1, 31, 71]","[10, 40, 27, 36, 86]"
8752046566,7354863337,True,1774972756,1091,0,23,23,2,183,"[86, 35, 44, 96, 27]","[114, 21, 31, 32, 25]"
8752046564,7354864643,True,1774972755,1147,0,23,23,3,151,"[85, 56, 44, 104, 76]","[9, 84, 88, 97, 29]"
8752046561,7354864620,False,1774972755,1180,0,23,13,2,182,"[63, 59, 88, 39, 67]","[12, 7, 52, 114, 35]"
8752046551,7354868250,True,1774972745,1301,0,23,63,1,241,"[91, 104, 129, 14, 88]","[82, 7, 22, 114, 35]"
8752046530,7354866916,True,1774972756,1270,0,23,34,3,184,"[67, 86, 30, 20, 25]","[74, 53, 1, 105, 104]"
8752046526,7354869329,False,1774972755,1382,0,23,32,4,185,"[77, 14, 48, 11, 71]","[36, 89, 123, 32, 35]"
8752046494,7354867248,False,1774972751,1294,0,23,41,1,152,"[120, 84, 40, 70, 35]","[28, 45, 123, 74, 73]"
8752046473,7354865318,False,1774972750,1190,0,23,31,3,182,"[1, 38, 77, 14, 25]","[5, 135, 11, 19, 68]"
8752046471,7354861496,False,1774972745,998,0,23,24,1,122,"[44, 59, 33, 14, 8]","[27, 1, 31, 84, 99]"
8752046455,7354861351,True,1774972751,818,7,22,44,7,182,"[21, 22, 70, 113, 71]","[37, 48, 101, 99, 126]"
8752046452,7354865911,True,1774972750,1218,0,23,43,5,184,"[38, 128, 110, 94, 129]","[86, 40, 44, 32, 34]"
8752046448,7354862457,False,1774972730,1017,0,23,45,7,223,"[34, 19, 97, 20, 86]","[51, 30, 14, 52, 44]"
8752046443,7354862323,False,1774972751,1052,0,23,22,5,181,"[1, 11, 53, 47, 113]","[82, 35, 20, 38, 110]"
8752046388,7354868109,True,1774972750,1365,0,23,23,1,183,"[86, 6, 48, 74, 59]","[11, 27, 81, 107, 109]"
8752046385,7354866046,False,1774972750,1238,0,23,35,2,184,"[41, 71, 28, 129, 7]","[135, 113, 84, 72, 39]"
8752046357,7354863706,False,1774972741,1119,0,23,64,7,273,"[22, 57, 14, 137, 93]","[101, 39, 37, 44, 75]"
8752046352,7354867253,True,1774972720,1278,0,23,32,2,412,"[21, 114, 86, 14, 36]","[71, 155, 25, 94, 26]"
8752046337,7354862313,False,1774972745,1048,0,23,65,7,183,"[71, 84, 74, 8, 16]","[14, 73, 91, 123, 42]"
